white,black,regla,ve,gana1,gana2,sindef,turnos
12344,12445,fijo,2,43.20,56.73,0.07,10.32
12344,12445,libre,2,48.13,51.73,0.13,9.96
12344,12455,fijo,2,40.50,59.50,0.00,10.14
12344,12455,libre,2,45.47,54.47,0.07,9.79
12344,13345,fijo,2,46.27,53.33,0.40,10.64
12344,13345,libre,2,50.23,49.43,0.33,10.12
12344,13355,fijo,2,46.60,53.20,0.20,10.26
12344,13355,libre,2,48.53,51.37,0.10,9.93
12344,13445,fijo,2,39.90,60.07,0.03,10.25
12344,13445,libre,2,45.37,54.57,0.07,9.96
12344,13455,fijo,2,38.00,61.97,0.03,10.11
12344,13455,libre,2,43.13,56.77,0.10,9.81
12344,14455,fijo,2,35.77,64.23,0.00,9.91
12344,14455,libre,2,39.80,60.20,0.00,9.61
12344,22335,fijo,2,55.53,43.87,0.60,10.69
12344,22335,libre,2,57.93,41.47,0.60,10.27
12344,22345,fijo,2,44.57,54.90,0.53,10.65
12344,22345,libre,2,49.93,49.70,0.37,10.16
12344,22355,fijo,2,43.63,56.07,0.30,10.44
12344,22355,libre,2,48.40,51.43,0.17,9.98
12344,22445,fijo,2,38.23,61.67,0.10,10.37
12344,22445,libre,2,42.53,57.40,0.07,9.98
12344,22455,fijo,2,36.70,63.27,0.03,10.21
12344,22455,libre,2,42.60,57.40,0.00,9.86
12344,23345,fijo,2,43.20,56.57,0.23,10.54
12344,23345,libre,2,48.47,51.33,0.20,10.10
12344,23355,fijo,2,43.40,56.47,0.13,10.32
12344,23355,libre,2,45.73,54.23,0.03,9.94
12344,23445,fijo,2,37.77,62.23,0.00,10.23
12344,23445,libre,2,43.43,56.53,0.03,9.95
12344,23455,fijo,2,36.20,63.77,0.03,10.08
12344,23455,libre,2,41.70,58.27,0.03,9.85
12344,24455,fijo,2,32.97,67.03,0.00,9.95
12344,24455,libre,2,37.53,62.47,0.00,9.65
12344,33445,fijo,2,34.47,65.50,0.03,10.14
12344,33445,libre,2,38.47,61.50,0.03,9.87
12344,33455,fijo,2,32.93,67.07,0.00,10.10
